0.000000:-0.500000,-0.333333,0.333333,-0.666667,0.500000,-0.333333,-0.333333,0.666667,0.000000,0.666667,-1.000000,0.000000,
0.000000:-0.507816,-0.320615,-0.737549,1.242122,0.503614,-0.351595,0.401480,-1.685354,-0.014152,0.672210,-0.798846,0.443232,
0.010000:-44.348749,77.470233,-3293.329264,5843.608346,35.146885,-86.769749,2602.321600,-6491.870423,1.906081,9.299516,144.685018,648.262077,
0.020000:17552453240559.473547,-31223368838543.957626,-1014005108631543009028013782204416.000000,1803773813099176614188940078874624.000000,-13882708331571.518804,34660107762514.047287,802003969298513837196323162423296.000000,-2002314198205373475490822468141056.000000,-769959385742.629667,-3436738923970.089660,44480548666421471675807720013824.000000,198540385106196861794463598510080.000000,
0.030000:323926513895311908114229233413202023185633461992280788324535000285559100952948624563487458204067203569279624295844891312192631728850820199597998643271447908464471698068307989395841353553670468434530069568608655663371808258090501905454677583073820408685556666533282246088810908487353018198070919168.000000,-576220137511341194034850066510565645370261686079481963824355720196594186044156235614058648826186517307346046680812194083554624866377022898064187739969074597818216952674960908538576140405725219947479352679176648039440786549512734329640026708329561681033572224970935625729896516935753852464360587264.000000,-5287104365012185358101455596278597981677644041277335027391788203445739960216747681940970367457953750674806971436821344649389094610573998217480080326146099818853933412226700918925103348806233176445507940369450750176959560012310005534988628076973480866187418964405762894120446906941951405597033695886801696051090824334451915314629123706012612846730824806275872821714825648707007497891609371995526998574318455945040175134403018922373131012774124317661655111913181199373603013740666132884958128435601498476531304512653723854165585401996510369249113635546179069587101155148918573188821656874980238092300430868480.000000,9405022045304780221964202407368117186379803125726180484229724532451716885627936014214404059325314101008248285601461942759485801571432780683115291120179560366377989795700190779984617210774433533140442060259987670792913719593651341233427718590178768236695278145218919744051146057019323426216861503546194214426983693690922083441946662803536664942769227336132183289349263111053118459093113163288410150606629815321075241567678479561777598161173473644897702326856747341118271238210225123275197543273206237168360077575910656881756821494015804684958498583007852262397880486821894997862729541711463067921040415916032.000000,-256202210120688694533139562438886386899696053338670230070936251682101215087999751459456939969762656429552837251705688449226073899717836904553815476386969959261660218586338427775201457874868535105382464870195047190046822564396436564157284792779584111739921966461898122815852553054887797794227093504.000000,639644369073326506036351029878394379369022324473609307265562717135190787450276567246913630814458090945990698508877945690119148584540063009569732200512892259970651799566355597895312957383769648243160041394041995014021692452797715375146110920788276881133647441564557023391856162927782247648708263936.000000,4181713337280682987172902953284636813519395902029189177069290830334160635629323941041579304291342166997653139000521201602406331590697954355221760780928145665024322878692832766095462211323586902850038892542486023732434298184923954239153146472143572164768505816331728374585448080113641594372713020459951498980234270186797581538611395170623689258168191945128091216323880834459907459326117515821393825426208477456681623615130903261856678764314891235477124100531061444960160848973630632396078155392420645263011479023785395126616056541241305707019470829783440499718903983384296254340567727232635781517244142452736.000000,-10440227615563502093307582066167034871260289275496229867728058941939557365755296305861615509682181815978370766453830786586268352275651785705883218689988945026220390740283499443317053668103444950310476386938046457793436840553567679267658158517951248659334951033512344867472708853729145967315229037565343221287158095231441135068498339102038653937817035797242662775302029256026563443638113467106809970598364255336935675569198017463867969114880580889153635610325581012905442188095408751600939994512546537598569516056210921292024003338344943854381213760148526441675492648117636427538274703663144156501772160991232.000000,-14209424531509174293891065243304049650005782028292550555227650406817635952431258776316645775210016010202791865417008474029224075865233264456738262106246557139950197884438702170349124784474599265694173538144801603869377988435721098303530858079997476618330475692131557297158325190810838802827837440.000000,-63424231561985312121155668084332779412337263532789547955782077347657468222479613773379362622492764108265906306151452672595280973524150895208495539047284667972567417425637840592735127699207631405340041808745877854961948521212439345392755562120371706102744763762274910382202437904768523362472296448.000000,231925165869976254717235709120297163755903049103320559403733326128428228458294425398239767440582334756488115817128423053218845437469543988648385093548148084854455887302833288409174669177353661979763794466394828443411897496090220725187508999776486296428190374935202033733456239163584108994594628852049748109929283319669599001767156235263095688598572382115537083045166094032820436205356371120805919660875302725719307161508335766485464702125045424131477627514581390995549960901009216222186244054755976920521062476697011563618073827318739204108050848519236127289068051122758074956555308207050603295358450663424.000000,1035205570258721873688792943836072561278858255272620289854136527661964883219925159192189309385334760942425637242008373615287657410535611950013775492032607496370660855261828470780055762940215252055607982852517527547321069601858145740100860248702479077675507319058366665162784701714209144291946825249633940611945795939822813746767140330930916530630474647814304330056071500496019733380975754143058794771921539299026007842430439696561619362583837106476871550651322741414167425693016083852801544906703849493613785056363020804231607439296564457242385997792803222197944157813022026021593810794389569139371044503552.000000,
0.040000:inf,-inf,-nan,-nan,-inf,inf,-nan,-nan,-inf,-inf,-nan,-nan,
0.050000:-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,
0.060000:-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,
0.070000:-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,
0.080000:-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,
0.090000:-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,
